num,family
134,greedy
1661,sql
389,math-bit
392,two-pointers
962,monotonic-stack
92,linked-list
94,tree-traversal
417,dfs-flood
1110,tree-traversal
230,bst
1482,binary-search
38,string-other
40,backtracking
65,string-other
77,backtracking
91,dp-linear
98,bst
104,tree-aggregate
116,tree-traversal
123,dp-linear
129,tree-aggregate
133,graph-other
140,backtracking
163,two-pointers
173,bst
199,bfs
227,pairing-stack
235,bst
237,linked-list
246,string-other
249,hashing
269,topo-sort
270,bst
282,backtracking
286,bfs
297,tree-construct
301,bfs
303,prefix-sum
314,bfs
317,bfs
334,greedy
339,tree-traversal
346,design
348,design
378,binary-search
398,design
408,string-other
415,string-other
419,matrix-sim
426,bst
480,heap-topk
489,backtracking
498,matrix-sim
523,prefix-sum
525,prefix-sum
529,dfs-flood
536,tree-construct
545,tree-traversal
605,greedy
647,string-other
658,binary-search
670,greedy
678,greedy
680,two-pointers
695,dfs-flood
708,linked-list
721,union-find
724,prefix-sum
766,matrix-sim
791,greedy
824,string-other
825,hashing
827,dfs-flood
863,bfs
921,pairing-stack
934,bfs
938,bst
958,bfs
973,heap-topk
986,merge-intervals
987,bfs
1047,pairing-stack
1060,binary-search
1091,bfs
1209,pairing-stack
1216,dp-interval
1249,pairing-stack
1424,matrix-sim
1443,dp-tree
1570,design
1650,tree-traversal
1762,monotonic-stack
1778,bfs
1868,two-pointers
2265,dp-tree
64,dp-grid
117,tree-traversal
161,two-pointers
171,math-bit
174,dp-grid
186,string-other
208,trie
214,string-matching
218,heap-topk
252,merge-intervals
254,backtracking
262,sql
266,hashing
277,graph-other
290,hashing
291,backtracking
312,dp-interval
330,greedy
332,graph-other
337,dp-tree
365,number-theory
373,heap-topk
404,tree-traversal
412,trivial
438,sliding-window
450,bst
460,design
465,backtracking
502,heap-topk
505,dijkstra
516,dp-interval
535,design
542,bfs
549,dp-tree
679,backtracking
690,dfs-flood
696,string-other
699,design
710,design
719,binary-search
722,string-other
723,matrix-sim
752,bfs
773,bfs
785,graph-other
788,dp-digit
792,binary-search
802,topo-sort
855,design
864,bfs
895,design
953,string-other
959,union-find
974,prefix-sum
983,dp-linear
992,sliding-window
1039,dp-interval
1064,binary-search
1136,topo-sort
1139,dp-grid
1152,hashing
1166,trie
1171,linked-list
1197,bfs
1202,union-find
1235,dp-interval
1244,design
1268,trie
1326,greedy
1334,dijkstra
1353,greedy
1368,dijkstra
1385,binary-search
1400,greedy
1423,sliding-window
1462,topo-sort
1472,design
1489,union-find
1519,dp-tree
1552,binary-search
1579,union-find
1584,union-find
1603,design
1627,union-find
1635,sql
1645,sql
1651,sql
1673,monotonic-stack
1705,heap-topk
1719,graph-other
1814,hashing
1818,binary-search
1829,math-bit
1856,monotonic-stack
1915,hashing
1926,bfs
1931,dp-bitmask
1961,string-other
1966,binary-search
1967,string-other
1968,greedy
2008,dp-linear
2021,diff-array
2092,union-find
2101,graph-other
2115,topo-sort
2196,tree-construct
2197,number-theory
2243,string-other
2246,dp-tree
2248,hashing
2251,binary-search
2261,hashing
2282,monotonic-stack
2307,union-find
2333,binary-search
2385,bfs
2389,binary-search
2467,dp-tree
2477,dp-tree
2502,design
2503,union-find
2508,graph-other
2537,sliding-window
2551,greedy
2555,dp-linear
2561,greedy
2571,math-bit
2603,graph-other
2672,greedy
2768,hashing
2817,sliding-window
2828,string-other
2848,diff-array
2861,binary-search
2912,dp-grid
2948,union-find
2954,number-theory
3023,string-matching
3027,geometry
3034,string-matching
3037,string-matching
3045,string-matching
3073,prefix-sum
3078,string-matching
3191,greedy
3192,greedy
3342,dijkstra
3387,graph-other
3419,dijkstra
3466,dp-grid
3652,dp-linear
3868,greedy
47,backtracking
82,linked-list
97,dp-grid
108,tree-construct
112,tree-aggregate
149,geometry
150,pairing-stack
157,design
158,design
165,string-other
188,dp-knapsack
191,math-bit
203,linked-list
211,trie
212,trie
225,design
243,two-pointers
257,tree-traversal
273,string-other
284,design
309,dp-linear
340,sliding-window
341,design
362,design
399,union-find
428,tree-construct
432,design
435,greedy
455,greedy
463,matrix-sim
468,string-other
477,math-bit
490,bfs
515,bfs
565,graph-other
622,design
628,greedy
635,design
688,dp-grid
692,heap-topk
706,design
707,design
713,sliding-window
714,dp-linear
731,design
736,string-other
759,merge-intervals
820,trie
841,dfs-flood
874,matrix-sim
889,tree-construct
909,bfs
918,dp-linear
933,design
981,design
996,backtracking
1041,geometry
1087,backtracking
1143,dp-grid
1146,design
1251,sql
1275,trivial
1606,design
1657,hashing
2023,hashing
2065,backtracking
2104,monotonic-stack
2150,hashing
2351,hashing
2397,backtracking
2435,dp-grid
2591,greedy
2633,trivial
2970,two-pointers
2972,two-pointers
3030,matrix-sim
3074,greedy
3163,string-other
3522,string-other
193,string-other
216,backtracking
310,topo-sort
343,dp-linear
384,design
390,math-bit
396,math-bit
427,tree-construct
456,monotonic-stack
526,backtracking
648,trie
729,design
741,dp-grid
941,two-pointers
1022,tree-aggregate
1169,hashing
1266,math-bit
1404,math-bit
1429,design
1979,number-theory
2661,hashing
3462,heap-topk
3741,hashing
3761,hashing
1239,backtracking
1295,trivial
1321,sql
1492,math-bit
1614,pairing-stack
1888,dp-linear
2009,binary-search
2050,topo-sort
2493,graph-other
2906,prefix-sum
3010,greedy
59,matrix-sim
63,dp-grid
81,binary-search
86,linked-list
111,tree-aggregate
114,tree-traversal
115,dp-grid
120,dp-grid
142,fast-slow
180,sql
182,sql
196,sql
228,two-pointers
233,dp-digit
368,dp-linear
445,linked-list
475,binary-search
541,string-other
570,sql
611,two-pointers
673,dp-linear
797,graph-other
1029,greedy
1174,sql
1193,sql
1200,greedy
1347,hashing
1365,prefix-sum
1382,bst
1583,hashing
1656,design
1823,math-bit
1848,two-pointers
1871,dp-linear
1971,union-find
2144,greedy
2423,hashing
2833,trivial
3047,geometry
3488,hashing
93,backtracking
113,backtracking
172,math-bit
177,sql
299,hashing
386,dfs-flood
407,heap-topk
577,sql
653,bst
763,greedy
1475,monotonic-stack
1494,dp-bitmask
1691,dp-linear
2858,graph-other
3129,dp-linear
3371,hashing
3413,prefix-sum
3507,heap-topk
3635,greedy
3928,dijkstra
132,dp-interval
586,sql
657,string-other
829,number-theory
1280,sql
1431,trivial
1932,bst
3418,dp-grid
3546,prefix-sum
305,union-find
564,string-other
588,design
1428,binary-search
1438,sliding-window
2187,binary-search
2258,bfs
2444,sliding-window
2468,greedy
2791,dp-tree
3071,greedy
3341,dijkstra
472,trie
767,greedy
2055,prefix-sum
2214,dp-linear
2357,greedy
3434,sliding-window
761,greedy
898,dp-linear
1141,sql
1335,dp-knapsack
1356,math-bit
1797,design
2472,dp-interval
451,heap-topk
901,monotonic-stack
1648,binary-search
2488,prefix-sum
2910,greedy
3752,greedy
3914,greedy
430,linked-list
1274,matrix-sim
1387,math-bit
1396,design
1934,sql
3120,string-other
585,sql
3932,number-theory
1192,graph-other
1903,string-other
3872,dp-linear
3920,greedy
1339,dp-tree
1092,dp-grid
1466,graph-other
